num_threads_1,3,4,4,3,5,3,2,3,3,2,3,3,4,6,5,6,3,4,4,4,2,3,3,2,3,2,3,4,3,3,3,6,3,4,5,7,3,2,4,4,2,4,5,4,4,6,5,3,6,5,4,3,4,2,6,3,3,3,3,3,2,2,3,3,2,2,3,3,3,6,4,2,3,2,2,3,2,2,3,2,3,3,2,2,2,3,2,2,3,3,2,3,4,3,2,3,2,2,2,3,4294964867
num_threads_2,10,4,3,3,5,9,4,6,7,4,4,3,4,3,14,6,6,13,13,5,5,10,24,20,13,16,10,3,4,2,2,3,4,2,3,2,3,2,2,4,3,3,2,2,3,3,2,2,2,2,3,4,3,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,3,1,2,3,2,3,4,3,3,3,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,4294955022
num_threads_4,5,4,5,3,4,5,5,6,7,3,4,4,3,4,4,4,4,3,4,4,3,4,3,5,4,3,4,3,4,3,4,5,4,4,4,4,4,3,4,4,4,4,5,3,4,3,4,6,5,4,3,4,4,3,4,4,4,7,7,3,4,5,4,3,5,5,3,4,4,5,6,13,7,6,4,4,6,5,3,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,3,4294966907
num_threads_8,11,14,7,8,8,6,8,7,9,7,7,8,14,8,7,7,10,7,8,8,11,8,8,10,13,9,12,8,6,7,9,8,7,6,7,9,7,8,7,7,7,7,7,9,10,8,7,8,8,15,7,9,8,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,9,7,7,7,8,9,9,9,8,8,10,8,8,8,9,7,7,6,7,6,7,6,6,6,9,75,22,13,7,7,10,9,4294965014
num_threads_16,21,16,20,18,22,18,16,24,19,17,16,18,17,17,17,17,18,19,18,18,17,14,14,13,14,14,16,16,17,15,18,16,23,17,16,17,15,16,17,15,16,19,18,16,19,18,16,16,16,15,20,19,15,16,16,17,30,17,13,15,13,15,13,15,15,19,14,13,21,21,18,18,16,17,16,17,19,19,16,18,23,18,18,16,16,17,16,17,19,18,17,19,27,15,15,15,14,14,17,13,4294965028
num_threads_32,36,29,34,31,28,29,32,30,41,32,32,32,32,33,38,28,27,31,31,31,35,36,26,31,32,32,33,39,32,31,28,29,39,39,32,32,33,31,36,38,35,31,31,32,32,38,31,31,32,33,32,39,34,31,35,32,32,36,32,31,31,34,32,37,34,33,29,30,28,37,35,28,26,27,28,28,33,34,27,27,35,38,33,42,38,31,32,34,37,38,37,34,32,32,58,37,33,41,29,28,4294962552
num_threads_64,63,57,61,73,62,61,61,62,59,55,71,66,67,73,56,62,68,65,59,59,58,56,62,72,63,62,76,58,75,98,63,68,66,76,83,61,58,56,57,55,58,69,63,68,70,56,56,58,64,57,57,66,71,57,63,58,55,58,63,59,66,67,65,53,64,69,62,64,72,66,64,72,65,66,78,93,99,63,56,73,61,55,76,58,69,81,78,59,66,64,63,66,83,67,63,77,53,66,71,65,4294965328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
