BODIES,CHUNKS,TIME
32,2,777,752,738,738,738,740,737,739,739,739,738,743,744,742,745,744,742,741,739,742,748,743,744,741,741,743,742,743,742,737,744,739,740,739,738,743,738,740,737,740,738,738,739,738,740,738,740,737,738,739,
32,5,734,733,734,731,732,733,731,732,731,734,733,736,734,731,735,733,737,734,733,732,734,735,734,734,734,734,735,732,735,733,734,735,734,732,734,734,733,734,732,734,735,732,734,734,732,732,735,733,734,735,
32,10,733,731,730,733,730,731,733,733,729,732,732,731,730,732,734,733,731,733,731,732,730,731,731,731,731,732,732,731,734,732,730,732,732,732,731,732,732,732,732,732,731,732,732,734,733,732,733,731,731,730,
32,25,738,737,739,739,737,738,737,739,738,739,740,739,738,738,738,739,738,738,738,737,737,735,738,733,734,734,734,732,733,734,731,735,733,734,732,732,734,732,732,735,733,734,734,734,734,735,732,736,735,733,
32,50,748,751,749,752,748,753,754,749,748,753,749,751,750,752,753,754,751,753,753,750,750,751,749,751,750,752,747,749,749,752,753,749,753,750,753,748,752,749,755,755,752,748,751,753,748,754,750,754,753,752,
32,100,790,788,786,786,783,786,784,786,781,781,785,785,786,787,789,782,785,785,789,783,788,785,776,786,783,787,781,774,785,785,782,785,780,781,783,780,783,787,788,779,790,785,787,784,790,789,782,788,785,787,
32,500,955,950,957,960,942,956,954,947,947,948,961,931,946,946,945,946,950,942,953,954,961,946,961,948,955,949,948,937,958,933,938,946,949,958,959,963,948,949,949,1029,954,948,950,958,954,957,952,960,929,952,
32,1000,1125,1137,1155,1165,1143,1148,1164,1141,1150,1157,1148,1168,1150,1190,1172,1160,1158,1154,1128,1157,1136,1178,1158,1163,1140,1170,1161,1160,1145,1139,1145,1151,1158,1159,1168,1128,1164,1154,1145,1130,1163,1158,1162,1160,1161,1151,1174,1156,1170,1181,
64,2,746,742,743,741,741,743,742,740,743,743,740,744,741,739,743,741,739,743,743,742,741,739,740,748,740,739,746,741,741,744,745,743,741,740,744,744,746,746,748,744,746,752,747,746,753,754,751,754,752,749,
64,5,734,733,740,736,734,735,737,733,735,732,733,730,733,730,730,731,732,730,730,732,730,729,729,731,732,730,730,729,730,731,732,732,730,730,731,731,729,732,731,731,731,731,729,730,733,730,730,731,731,731,
64,10,731,731,733,731,729,732,731,731,730,730,731,731,731,730,732,730,729,731,730,729,731,732,730,731,732,731,731,733,730,730,731,730,732,732,731,733,732,730,731,732,731,732,731,731,732,731,732,731,732,732,
64,25,737,737,738,736,739,738,740,737,739,738,737,739,739,738,738,736,738,738,740,737,739,739,738,739,740,739,738,736,737,739,737,738,739,734,738,739,739,738,737,740,740,738,737,740,737,739,739,739,739,738,
64,50,754,757,755,753,758,757,753,758,757,752,756,759,758,755,757,756,756,754,753,755,754,755,753,758,755,756,755,756,755,756,755,753,759,755,755,754,754,758,755,758,752,754,752,756,755,752,757,758,757,756,
64,100,789,788,785,790,792,789,784,787,793,786,785,790,785,788,784,787,786,788,789,777,792,788,791,791,780,785,787,793,794,785,790,782,777,785,791,781,774,780,786,776,779,783,790,788,785,782,788,797,786,785,
64,500,949,942,957,949,959,947,950,965,948,941,960,948,955,953,958,959,947,943,943,929,956,936,937,948,942,945,941,940,955,955,951,952,936,955,948,948,953,960,944,957,944,935,950,958,952,956,954,933,945,943,
64,1000,1127,1144,1129,1136,1171,1129,1138,1153,1170,1149,1153,1151,1130,1158,1159,1159,1161,1147,1137,1145,1137,1168,1156,1147,1113,1147,1153,1130,1149,1130,1133,1158,1168,1143,1152,1146,1181,1134,1180,1163,1157,1137,1164,1175,1184,1151,1127,1157,1140,1157,
